"ProcessName","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"Idle","10.9.117.234","55291","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55290","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55289","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55288","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55287","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55286","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55285","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55282","2.19.176.114","443","TimeWait"
"Idle","10.9.117.234","55281","52.110.5.42","443","TimeWait"
"WINWORD","10.9.117.234","55274","52.111.236.89","443","Established"
"WINWORD","10.9.117.234","55272","52.111.236.89","443","Established"
"Idle","10.9.117.234","55270","209.85.203.94","443","TimeWait"
"Idle","10.9.117.234","55268","20.166.180.104","443","TimeWait"
"Idle","10.9.117.234","55264","52.97.233.98","443","TimeWait"
"Idle","10.9.117.234","55263","52.97.233.98","443","TimeWait"
"Idle","10.9.117.234","55261","20.50.201.203","443","TimeWait"
"Idle","10.9.117.234","55257","52.97.233.114","443","TimeWait"
"Idle","10.9.117.234","55256","51.137.183.100","443","TimeWait"
"Idle","10.9.117.234","55255","52.109.89.19","443","TimeWait"
"Idle","10.9.117.234","55254","52.111.236.7","443","TimeWait"
"Idle","10.9.117.234","55253","52.97.233.98","443","TimeWait"
"Idle","10.9.117.234","55252","52.109.89.19","443","TimeWait"
"Idle","10.9.117.234","55251","20.190.147.10","443","TimeWait"
"Idle","10.9.117.234","55239","52.110.5.36","443","TimeWait"
"Idle","10.9.117.234","55238","52.110.5.36","443","TimeWait"
"Idle","10.9.117.234","55226","51.137.183.100","443","TimeWait"
"Idle","10.9.117.234","55225","20.190.159.29","443","TimeWait"
"Idle","10.9.117.234","55218","52.109.76.240","443","TimeWait"
"chrome","10.9.117.234","55215","172.253.116.190","443","Established"
"spotlight-collector","127.0.0.1","54608","127.0.0.1","63475","Established"
"spotlight-collector","127.0.0.1","54608","127.0.0.1","49714","Established"
"spotlight-collector","127.0.0.1","54608","0.0.0.0","0","Listen"
"spotlight-collector","127.0.0.1","54606","127.0.0.1","54264","Established"
"spotlight-collector","127.0.0.1","54606","0.0.0.0","0","Listen"
"splunkd","127.0.0.1","54301","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","54294","127.0.0.1","8191","Established"
"mongod","127.0.0.1","54291","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","54266","127.0.0.1","8191","Established"
"spotlight-collector","127.0.0.1","54264","127.0.0.1","54606","Established"
"spotlight-collector","127.0.0.1","54255","127.0.0.1","52047","Established"
"spotlight-collector","127.0.0.1","54254","127.0.0.1","52047","Established"
"spotlight-collector","127.0.0.1","54253","127.0.0.1","52047","Established"
"spotlight-collector","127.0.0.1","54252","127.0.0.1","52047","Established"
"spotlight-collector","127.0.0.1","54251","127.0.0.1","52047","Established"
"spotlight-collector","127.0.0.1","54250","127.0.0.1","52047","Established"
"spotlight-collector","127.0.0.1","54248","127.0.0.1","52047","Established"
"splunkd","127.0.0.1","54247","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","54246","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","54245","127.0.0.1","8191","Established"
"mongod","127.0.0.1","54210","127.0.0.1","8191","Established"
"mongod","127.0.0.1","53925","127.0.0.1","8191","Established"
"mongod","127.0.0.1","53695","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","53682","127.0.0.1","8191","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54253","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54255","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54250","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54251","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54248","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54252","Established"
"compsup","127.0.0.1","52047","127.0.0.1","54254","Established"
"compsup","127.0.0.1","52047","0.0.0.0","0","Listen"
"Idle","10.9.117.234","51692","8.8.8.8","443","TimeWait"
"compsup","127.0.0.1","51389","0.0.0.0","0","Listen"
"mongod","127.0.0.1","51388","127.0.0.1","8191","Established"
"chrome","10.9.117.234","51239","209.85.203.188","5228","Established"
"Idle","10.9.117.234","50603","74.125.193.102","443","TimeWait"
"chrome","10.9.117.234","50426","104.18.32.47","443","Established"
"chrome","10.9.117.234","50014","104.18.39.21","443","Established"
"compsup","127.0.0.1","49714","127.0.0.1","54608","Established"
"compsup","127.0.0.1","49704","127.0.0.1","49693","Established"
"agent-manager","127.0.0.1","49693","127.0.0.1","49704","Established"
"agent-manager","127.0.0.1","49693","127.0.0.1","56280","Established"
"agent-manager","127.0.0.1","49693","0.0.0.0","0","Listen"
"agent-manager","127.0.0.1","49692","0.0.0.0","0","Listen"
"services","0.0.0.0","49674","0.0.0.0","0","Listen"
"mysqld","127.0.0.1","49673","127.0.0.1","49672","Established"
"mysqld","127.0.0.1","49672","127.0.0.1","49673","Established"
"mysqld","127.0.0.1","49671","127.0.0.1","49670","Established"
"mysqld","127.0.0.1","49670","127.0.0.1","49671","Established"
"spoolsv","0.0.0.0","49668","0.0.0.0","0","Listen"
"svchost","0.0.0.0","49667","0.0.0.0","0","Listen"
"svchost","0.0.0.0","49666","0.0.0.0","0","Listen"
"wininit","0.0.0.0","49665","0.0.0.0","0","Listen"
"lsass","0.0.0.0","49664","0.0.0.0","0","Listen"
"svchost","10.9.117.234","49425","4.207.247.138","443","Established"
"svchost","10.9.117.234","49424","4.207.247.138","443","Established"
"ipc_broker","127.0.0.1","8194","0.0.0.0","0","Listen"
"ipc_broker","127.0.0.1","8194","127.0.0.1","60992","Established"
"ipc_broker","127.0.0.1","8194","127.0.0.1","60994","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54301","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54294","Established"
"mongod","127.0.0.1","8191","127.0.0.1","56936","Established"
"mongod","127.0.0.1","8191","127.0.0.1","53682","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54246","Established"
"mongod","127.0.0.1","8191","127.0.0.1","60386","Established"
"mongod","127.0.0.1","8191","127.0.0.1","57178","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59669","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59568","Established"
"mongod","127.0.0.1","8191","127.0.0.1","60359","Established"
"mongod","127.0.0.1","8191","127.0.0.1","56630","Established"
"mongod","127.0.0.1","8191","127.0.0.1","53695","Established"
"mongod","127.0.0.1","8191","127.0.0.1","58079","Established"
"mongod","127.0.0.1","8191","127.0.0.1","58216","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54245","Established"
"mongod","127.0.0.1","8191","127.0.0.1","51388","Established"
"mongod","127.0.0.1","8191","127.0.0.1","58590","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54291","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59486","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54247","Established"
"mongod","127.0.0.1","8191","127.0.0.1","63737","Established"
"mongod","127.0.0.1","8191","127.0.0.1","63738","Established"
"mongod","127.0.0.1","8191","127.0.0.1","60188","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59817","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54210","Established"
"mongod","127.0.0.1","8191","127.0.0.1","54266","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59818","Established"
"mongod","127.0.0.1","8191","127.0.0.1","53925","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59040","Established"
"mongod","127.0.0.1","8191","127.0.0.1","60803","Established"
"mongod","127.0.0.1","8191","127.0.0.1","59410","Established"
"mongod","0.0.0.0","8191","0.0.0.0","0","Listen"
"Idle","127.0.0.1","8089","127.0.0.1","55267","TimeWait"
"splunkd","0.0.0.0","8089","0.0.0.0","0","Listen"
"python3.9","127.0.0.1","8065","0.0.0.0","0","Listen"
"splunkd","0.0.0.0","8000","0.0.0.0","0","Listen"
"Discord","127.0.0.1","6463","0.0.0.0","0","Listen"
"svchost","0.0.0.0","5040","0.0.0.0","0","Listen"
"Code","127.0.0.1","4265","0.0.0.0","0","Listen"
"System","192.168.56.1","139","0.0.0.0","0","Listen"
"System","26.115.9.206","139","0.0.0.0","0","Listen"
"System","10.9.117.234","139","0.0.0.0","0","Listen"
"svchost","0.0.0.0","135","0.0.0.0","0","Listen"
